food_id,Name,Coarse-grained categories,Fine-grained categories,Cuisines,Associated Cuisines,Area,Countries,Wikipedia Link,Alias,Top_15_Similar_Foods,Top_15_Same_Fine_Category,Top_15_Same_Coarse_Category
10,Dhansak,"[""stew""]","[""curry""]","[""Indian""]","[""Indian"",""Parsi""]","[""Gujarat""]","[""India""]",https://en.wikipedia.org/wiki/Dhansak,"{""bn - Bangla"": ""ধানশাক"", ""es - Spanish"": ""Dhansak"", ""gu - Gujarati"": ""ધાનશાક"", ""he - Hebrew"": ""דנסאק"", ""jv - Javanese"": ""Dhansak""}","[1935, 1237, 12, 1292, 377, 2355, 74, 376, 1570, 2354, 1546, 1525, 1889, 138, 499]","[12, 9, 4, 11, 5, 7]","[1237, 12, 2355, 1570, 2354, 1546, 1525, 1534, 1544, 1538, 1562, 1530, 9, 4, 1533]"
11,Palak paneer,"[""stew""]","[""curry""]","[""Indian""]","[""Indian""]","[""India""]","[""India""]",https://en.wikipedia.org/wiki/Palak_paneer,"{""bh - Bhojpuri"": ""पालक पनीर"", ""bn - Bangla"": ""পালং পনির"", ""dty - Doteli"": ""पालक पनीर"", ""es - Spanish"": ""Palak paneer"", ""fr - French"": ""Palak paneer"", ""he - Hebrew"": ""פלאק פניר"", ""it - Italian"": ""Palak paneer"", ""ja - Japanese"": ""パーラク・パニール"", ""jv - Javanese"": ""Palak paneer"", ""kn - Kannada"": ""ಪಾಲಕ್ ಪನೀರ್"", ""ko - Korean"": ""팔락 파니르"", ""ks - Kashmiri"": ""پالکھ ژامَنؠ"", ""mr - Marathi"": ""पालक पनीर"", ""ne - Nepali"": ""पालक पनिर"", ""nn - Norwegian Nynorsk"": ""Pálak panír"", ""pa - Punjabi"": ""ਪਾਲਕ ਪਨੀਰ"", ""sv - Swedish"": ""Palak paneer"", ""th - Thai"": ""ปาลักปนีร"", ""uk - Ukrainian"": ""Палак панір""}","[172, 1764, 170, 46, 176, 282, 2251, 1237, 869, 169, 104, 437, 6, 9, 355]","[9, 5, 10, 7, 12, 4]","[1237, 9, 1539, 1570, 1515, 1544, 1587, 1546, 1561, 5, 1337, 1542, 10, 1171, 1584]"
12,Dal Makhani,"[""stew""]","[""curry""]","[""Indian""]","[""Indian""]","[""Delhi""]","[""India""]",https://en.wikipedia.org/wiki/Dal_makhani,"{""bh - Bhojpuri"": ""दाल मखनी"", ""bn - Bangla"": ""ডাল মাখনি"", ""es - Spanish"": ""Dal makhani"", ""hi - Hindi"": ""दाल मखानी"", ""kn - Kannada"": ""ದಾಲ್ ಮಖನಿ"", ""ko - Korean"": ""달 마카니"", ""mai - Maithili"": ""दाल मखानी"", ""ml - Malayalam"": ""ദാൽ മഖനി"", ""or - Odia"": ""ଡାଲ ମଖନୀ"", ""pa - Punjabi"": ""ਦਾਲ ਮੱਖਣੀ"", ""ta - Tamil"": ""தால் மக்கானி"", ""vi - Vietnamese"": ""Dal makhani""}","[1935, 74, 10, 1937, 1884, 110, 1570, 2355, 92, 1237, 1792, 1530, 1542, 1889, 138]","[10, 5, 11, 9, 4, 7]","[10, 1570, 2355, 1237, 1792, 1530, 1542, 1516, 1173, 1279, 1269, 1561, 1552, 1533, 2361]"
13,Nasi Uduk,"[""rice""]","[""coconut rice"", ""mixed rice""]","[""Indonesian""]","[""Indonesian""]","[""Jakarta""]","[""Indonesia""]",https://en.wikipedia.org/wiki/Nasi_uduk,"{""bn - Bangla"": ""নাসি উদুক"", ""es - Spanish"": ""Nasi uduk"", ""fr - French"": ""Nasi uduk"", ""id - Indonesian"": ""Nasi uduk"", ""ja - Japanese"": ""ナシウドゥッ"", ""jv - Javanese"": ""Sega wuduk Betawi"", ""kge - Komering"": ""Okan Taboh"", ""ko - Korean"": ""나시 우둑"", ""ml - Malayalam"": ""നാസി ഉടുക്ക്"", ""ms - Malay"": ""Nasi uduk"", ""su - Sundanese"": ""Wuduk"", ""th - Thai"": ""นาซีอูดุก"", ""uz - Uzbek"": ""Nasi uduk"", ""zh - Chinese"": ""乌督饭""}","[143, 14, 151, 152, 144, 147, 158, 155, 156, 108, 176, 141, 148, 117, 54]","[14, 86]","[143, 14, 151, 152, 144, 147, 158, 155, 156, 108, 176, 141, 148, 117, 93]"
14,Nasi Lemak,"[""rice""]","[""coconut rice"", ""mixed rice""]","[""Malaysian""]","[""Malaysian""]","[""Peninsular Malaysia"", ""Sumatra"", ""Medan"", ""Riau"", ""Riau Islands"", ""Palembang"", ""Indonesia"", ""Singapore"", ""Brunei"", ""Southern Philippines"", ""Southern Thailand"", ""Cocos (Keeling) Islands"", ""Christmas Island"", ""Australia""]","[""Malaysia""]",https://en.wikipedia.org/wiki/Nasi_lemak,"{""cs - Czech"": ""Nasi lemak"", ""de - German"": ""Nasi Lemak"", ""en-simple - Simple English"": ""Nasi lemak"", ""es - Spanish"": ""Nasi lemak"", ""fa - Persian"": ""ناسی لمک"", ""fi - Finnish"": ""Nasi lemak"", ""fr - French"": ""Nasi lemak"", ""hy - Armenian"": ""Նասի-լեմակ"", ""id - Indonesian"": ""Nasi lemak"", ""it - Italian"": ""Nasi lemak"", ""ja - Japanese"": ""ナシレマッ"", ""jv - Javanese"": ""Nasi lemak"", ""ko - Korean"": ""나시 르막"", ""min - Minangkabau"": ""Nasi lamak"", ""ml - Malayalam"": ""നാസി ലെമാക്"", ""mr - Marathi"": ""नासी लमाक"", ""ms - Malay"": ""Nasi lemak"", ""my - Burmese"": ""နာဆီလီမက်"", ""pa - Punjabi"": ""ਨਾਸੀ ਲੇਮਕ"", ""pt - Portuguese"": ""Nasi lemak"", ""pwn - Paiwan"": ""nasi lemak"", ""ru - Russian"": ""Наси-лемак"", ""sv - Swedish"": ""Nasi lemak"", ""ta - Tamil"": ""நாசி லெமாக்"", ""th - Thai"": ""นาซีเลอมัก"", ""tl - Tagalog"": ""Nasi lemak"", ""tr - Turkish"": ""Nasi lemak"", ""uk - Ukrainian"": ""Насі лемак"", ""uz - Uzbek"": ""Nasi lemak"", ""yue - Cantonese"": ""椰漿飯"", ""zh - Chinese"": ""椰浆饭""}","[152, 151, 144, 13, 117, 150, 143, 141, 157, 155, 145, 149, 204, 158, 238]","[13, 86]","[152, 151, 144, 13, 117, 150, 143, 141, 157, 155, 145, 149, 158, 153, 60]"
15,Nasi Campur,"[""rice""]","[""mixed rice""]","[""Indonesian""]","[""Indonesian""]","[""Indonesia""]","[""Indonesia""]",https://en.wikipedia.org/wiki/Nasi_campur,"{""es - Spanish"": ""Nasi campur"", ""eu - Basque"": ""Nasi campur"", ""fr - French"": ""Nasi campur"", ""id - Indonesian"": ""Nasi campur"", ""ja - Japanese"": ""ナシチャンプル"", ""jv - Javanese"": ""Sega campur"", ""ko - Korean"": ""나시 참푸르"", ""ms - Malay"": ""Nasi campur"", ""nl - Dutch"": ""Nasi rames"", ""th - Thai"": ""นาซีจัมปูร์"", ""uk - Ukrainian"": ""Насі кампур""}","[149, 157, 146, 153, 27, 16, 150, 147, 140, 141, 143, 151, 152, 144, 14]","[149, 157, 146, 153, 150, 147, 140, 143, 151, 152, 144, 156, 158, 142, 145]","[149, 157, 146, 153, 27, 16, 150, 147, 140, 141, 143, 151, 152, 144, 14]"
16,Nasi Goreng,"[""rice""]","[""fried rice""]","[""Indonesian""]","[""Indonesian"",""Malaysian"",""Bruneian"",""Singaporean""]","[""Indonesia"", ""Malaysia"", ""Singapore"", ""Brunei"", ""Southern Thailand"", ""Sri Lanka"", ""Suriname"", ""Netherlands""]","[""Indonesia""]",https://en.wikipedia.org/wiki/Nasi_goreng,"{""ar - Arabic"": ""نازي جورينج"", ""as - Assamese"": ""নাছি গৰেং"", ""az - Azerbaijani"": ""Nasi-qorenq"", ""ban - Balinese"": ""Nasi Goréng"", ""bew - Betawi"": ""Nasi gorèng"", ""ca - Catalan"": ""Nasi goreng"", ""de - German"": ""Nasi Goreng"", ""en-simple - Simple English"": ""Nasi goreng"", ""eo - Esperanto"": ""Nasi goreng"", ""es - Spanish"": ""Nasi goreng"", ""fa - Persian"": ""ناسی گورنگ"", ""fr - French"": ""Nasi goreng"", ""hy - Armenian"": ""Նասի գորենգ"", ""id - Indonesian"": ""Nasi goreng"", ""it - Italian"": ""Nasi goreng"", ""ja - Japanese"": ""ナシゴレン"", ""jv - Javanese"": ""Sega gorèng"", ""kge - Komering"": ""Okan Kurih"", ""ko - Korean"": ""나시 고렝"", ""ms - Malay"": ""Nasi goreng"", ""nl - Dutch"": ""Nasi goreng"", ""nn - Norwegian Nynorsk"": ""Nasi goreng"", ""pl - Polish"": ""Nasi goreng"", ""pt - Portuguese"": ""Nasi goreng"", ""ru - Russian"": ""Наси-горенг"", ""su - Sundanese"": ""Goréng sangu"", ""sv - Swedish"": ""Nasi goreng"", ""th - Thai"": ""นาซีโกเร็ง"", ""tl - Tagalog"": ""Nasi goreng"", ""uk - Ukrainian"": ""Насі-горенг"", ""wuu - Wu"": ""印尼炒饭"", ""yue - Cantonese"": ""印尼炒飯"", ""zh - Chinese"": ""印尼炒飯""}","[144, 269, 268, 279, 15, 141, 143, 157, 2240, 140, 154, 368, 2238, 152, 303]","[2240, 2238, 28, 22, 21, 27, 29, 38, 26, 23, 106, 24, 57, 19, 25]","[144, 15, 141, 143, 157, 2240, 140, 154, 2238, 152, 146, 151, 150, 28, 142]"
17,Paella,"[""rice""]","[""mixed rice""]","[""Spanish""]","[""Valencian"",""Spanish""]","[""Valencia""]","[""Spain""]",https://en.wikipedia.org/wiki/Paella,"{""ar - Arabic"": ""باييا"", ""arz - Egyptian Arabic"": ""باييا"", ""bcl - Central Bikol"": ""Paella"", ""bg - Bulgarian"": ""Паеля"", ""ca - Catalan"": ""Paella d'arròs"", ""ckb - Central Kurdish"": ""پاێلا"", ""cs - Czech"": ""Paella"", ""cy - Welsh"": ""Paëla"", ""da - Danish"": ""Paella"", ""de - German"": ""Paella"", ""el - Greek"": ""Παέγια"", ""en-simple - Simple English"": ""Paella"", ""eo - Esperanto"": ""Paelo"", ""es - Spanish"": ""Paella"", ""eu - Basque"": ""Paella"", ""fa - Persian"": ""پائیا"", ""fi - Finnish"": ""Paella"", ""fr - French"": ""Paella"", ""gl - Galician"": ""Paella"", ""he - Hebrew"": ""פאייה"", ""hu - Hungarian"": ""Paella"", ""hy - Armenian"": ""Պաելյա"", ""id - Indonesian"": ""Paella"", ""io - Ido"": ""Paella"", ""is - Icelandic"": ""Paella"", ""it - Italian"": ""Paella"", ""ja - Japanese"": ""パエリア"", ""jv - Javanese"": ""Paella"", ""ka - Georgian"": ""პაელა"", ""kk - Kazakh"": ""Паэлья"", ""ko - Korean"": ""파에야"", ""la - Latin"": ""Oryza in patella"", ""lmo - Lombard"": ""Paella"", ""lt - Lithuanian"": ""Paelja"", ""mk - Macedonian"": ""Паеља"", ""ml - Malayalam"": ""പയെയ"", ""ms - Malay"": ""Paella"", ""nb - Norwegian Bokmål"": ""Paella"", ""nl - Dutch"": ""Paella"", ""nn - Norwegian Nynorsk"": ""Paella"", ""pam - Pampanga"": ""Paelia"", ""pl - Polish"": ""Paella"", ""pt - Portuguese"": ""Paelha"", ""qu - Quechua"": ""Paylla"", ""ro - Romanian"": ""Paella"", ""ru - Russian"": ""Паэлья"", ""sc - Sardinian"": ""Paella"", ""sq - Albanian"": ""Paella"", ""sr - Serbian"": ""Паеља"", ""sv - Swedish"": ""Paella"", ""ta - Tamil"": ""பயேலா"", ""th - Thai"": ""ปาเอยา"", ""tl - Tagalog"": ""Paelya"", ""uk - Ukrainian"": ""Паелья"", ""uz - Uzbek"": ""Paella"", ""vi - Vietnamese"": ""Paella"", ""yue - Cantonese"": ""西班牙大鑊飯"", ""zh - Chinese"": ""西班牙鐵鍋飯""}","[37, 202, 1605, 2163, 565, 1262, 77, 170, 1900, 2080, 1282, 2011, 1100, 39, 2367]","[202, 170, 172, 42, 165, 167, 43, 192, 40, 18, 41, 99, 176, 75, 95]","[202, 77, 170, 2080, 39, 2079, 159, 172, 42, 165, 167, 43, 2239, 192, 40]"
18,Arròs negre,"[""rice""]","[""mixed rice""]","[""Spanish""]","[""Valencian"",""Catalan""]","[""Valencia"", ""Catalonia""]","[""Spain""]",https://en.wikipedia.org/wiki/Arr%C3%B2s_negre,"{""ar - Arabic"": ""الأرز الأسود"", ""ca - Catalan"": ""Arròs negre"", ""cs - Czech"": ""Arròs negre"", ""es - Spanish"": ""Arroz negro"", ""fr - French"": ""Arròs negre"", ""he - Hebrew"": ""ארוס נגרה"", ""it - Italian"": ""Arròs negre"", ""ja - Japanese"": ""アロス・ネグロ"", ""jv - Javanese"": ""Arròs négré"", ""ko - Korean"": ""아로스 네그레"", ""nb - Norwegian Bokmål"": ""Arròs negre"", ""nl - Dutch"": ""Arros negre"", ""nn - Norwegian Nynorsk"": ""Arròs negre"", ""pt - Portuguese"": ""Arroz negro"", ""ru - Russian"": ""Аррос негре"", ""th - Thai"": ""อาร์ร็อสเนเกร"", ""tl - Tagalog"": ""Arròs negre"", ""uk - Ukrainian"": ""Аррос негре"", ""vi - Vietnamese"": ""Arròs negre"", ""zh - Chinese"": ""墨鱼饭""}","[2078, 2077, 26, 1430, 75, 202, 37, 2246, 1693, 2079, 1911, 1909, 364, 2158, 1429]","[75, 202, 2246, 2158, 1682, 122, 78, 41, 2245, 1692, 165, 192, 2244, 43, 91]","[2078, 26, 75, 202, 2246, 1693, 2079, 2158, 39, 1685, 1690, 1682, 122, 78, 77]"
19,Jollof Rice,"[""rice""]","[""fried rice""]","[""Senegalese""]","[""Nigerian"",""Ghanaian""]","[""Nigeria"",""Ghana""]","[""Nigeria"",""Ghana""]",https://en.wikipedia.org/wiki/Jollof_rice,"{""ar - Arabic"": ""رز جولاف"", ""cs - Czech"": ""Jollof rice"", ""da - Danish"": ""Jollof-ris"", ""dag - Dagbani"": ""Dafaduka"", ""de - German"": ""Benachin"", ""en-simple - Simple English"": ""Jollof rice"", ""es - Spanish"": ""Arroz jollof"", ""eu - Basque"": ""Jollof arroz"", ""fi - Finnish"": ""Jollof-riisi"", ""fr - French"": ""Riz wolof"", ""ha - Hausa"": ""Dafa-duka"", ""hy - Armenian"": ""Ջոլոֆ"", ""id - Indonesian"": ""Nasi jollof"", ""ig - Igbo"": ""Jollof rice"", ""it - Italian"": ""Riso jollof"", ""ja - Japanese"": ""ジョロフライス"", ""jv - Javanese"": ""Sega jollof"", ""ko - Korean"": ""졸로프 라이스"", ""nn - Norwegian Nynorsk"": ""Jollof-ris"", ""pt - Portuguese"": ""Arroz jollof"", ""ru - Russian"": ""Джолоф"", ""sv - Swedish"": ""Jollof-ris"", ""tw - Twi"": ""Jollof rice"", ""uk - Ukrainian"": ""Джолоф"", ""uz - Uzbek"": ""Jolof"", ""vi - Vietnamese"": ""Cơm jollof"", ""yo - Yoruba"": ""Ìrẹsì Jọ̀lọ́ọ̀fù"", ""zh - Chinese"": ""加羅夫飯""}","[172, 192, 184, 2245, 221, 206, 1911, 160, 1876, 209, 71, 80, 38, 27, 41]","[38, 27, 16, 39, 57, 26, 28, 2238, 23, 2240, 22, 21, 24, 106, 29]","[172, 192, 184, 2245, 221, 206, 160, 1876, 209, 71, 80, 38, 27, 41, 158]"
