,Name,Wikipedia Link,json_aliases
10,Saag,https://en.wikipedia.org/wiki/Saag,"{""ar - Arabic"": ""ساغ"", ""bn - Bangla"": ""শাক"", ""ca - Catalan"": ""Saag"", ""es - Spanish"": ""Saag"", ""fr - French"": ""Saag"", ""he - Hebrew"": ""סאג"", ""id - Indonesian"": ""Saag"", ""ja - Japanese"": ""サーグ"", ""jv - Javanese"": ""Saag"", ""kn - Kannada"": ""ಸಾಗ್"", ""ko - Korean"": ""사그"", ""or - Odia"": ""ଶାଗ"", ""pa - Punjabi"": ""ਸਾਗ"", ""pnb - Western Punjabi"": ""ساگ"", ""pt - Portuguese"": ""Saag"", ""sat - Santali"": ""ᱵᱷᱚᱡᱟ"", ""uk - Ukrainian"": ""Сааг""}"
11,Dhansak,https://en.wikipedia.org/wiki/Dhansak,"{""bn - Bangla"": ""ধানশাক"", ""es - Spanish"": ""Dhansak"", ""gu - Gujarati"": ""ધાનશાક"", ""he - Hebrew"": ""דנסאק"", ""jv - Javanese"": ""Dhansak""}"
12,Palak paneer,https://en.wikipedia.org/wiki/Palak_paneer,"{""bh - Bhojpuri"": ""पालक पनीर"", ""bn - Bangla"": ""পালং পনির"", ""dty - Doteli"": ""पालक पनीर"", ""es - Spanish"": ""Palak paneer"", ""fr - French"": ""Palak paneer"", ""he - Hebrew"": ""פלאק פניר"", ""it - Italian"": ""Palak paneer"", ""ja - Japanese"": ""パーラク・パニール"", ""jv - Javanese"": ""Palak paneer"", ""kn - Kannada"": ""ಪಾಲಕ್ ಪನೀರ್"", ""ko - Korean"": ""팔락 파니르"", ""ks - Kashmiri"": ""پالکھ ژامَنؠ"", ""mr - Marathi"": ""पालक पनीर"", ""ne - Nepali"": ""पालक पनिर"", ""nn - Norwegian Nynorsk"": ""Pálak panír"", ""pa - Punjabi"": ""ਪਾਲਕ ਪਨੀਰ"", ""sv - Swedish"": ""Palak paneer"", ""th - Thai"": ""ปาลักปนีร"", ""uk - Ukrainian"": ""Палак панір""}"
13,Dal Makhani,https://en.wikipedia.org/wiki/Dal_makhani,"{""bh - Bhojpuri"": ""दाल मखनी"", ""bn - Bangla"": ""ডাল মাখনি"", ""es - Spanish"": ""Dal makhani"", ""hi - Hindi"": ""दाल मखानी"", ""kn - Kannada"": ""ದಾಲ್ ಮಖನಿ"", ""ko - Korean"": ""달 마카니"", ""mai - Maithili"": ""दाल मखानी"", ""ml - Malayalam"": ""ദാൽ മഖനി"", ""or - Odia"": ""ଡାଲ ମଖନୀ"", ""pa - Punjabi"": ""ਦਾਲ ਮੱਖਣੀ"", ""ta - Tamil"": ""தால் மக்கானி"", ""vi - Vietnamese"": ""Dal makhani""}"
14,Nasi Uduk,https://en.wikipedia.org/wiki/Nasi_uduk,"{""bn - Bangla"": ""নাসি উদুক"", ""es - Spanish"": ""Nasi uduk"", ""fr - French"": ""Nasi uduk"", ""id - Indonesian"": ""Nasi uduk"", ""ja - Japanese"": ""ナシウドゥッ"", ""jv - Javanese"": ""Sega wuduk Betawi"", ""ko - Korean"": ""나시 우둑"", ""ml - Malayalam"": ""നാസി ഉടുക്ക്"", ""ms - Malay"": ""Nasi uduk"", ""su - Sundanese"": ""Wuduk"", ""th - Thai"": ""นาซีอูดุก"", ""uz - Uzbek"": ""Nasi uduk"", ""zh - Chinese"": ""乌督饭""}"
15,Nasi Lemak,https://en.wikipedia.org/wiki/Nasi_lemak,"{""cs - Czech"": ""Nasi lemak"", ""de - German"": ""Nasi Lemak"", ""en-simple - Simple English"": ""Nasi lemak"", ""es - Spanish"": ""Nasi lemak"", ""fa - Persian"": ""ناسی لمک"", ""fi - Finnish"": ""Nasi lemak"", ""fr - French"": ""Nasi lemak"", ""hy - Armenian"": ""Նասի-լեմակ"", ""id - Indonesian"": ""Nasi lemak"", ""it - Italian"": ""Nasi lemak"", ""ja - Japanese"": ""ナシレマッ"", ""jv - Javanese"": ""Nasi lemak"", ""ko - Korean"": ""나시 르막"", ""min - Minangkabau"": ""Nasi lamak"", ""ml - Malayalam"": ""നാസി ലെമാക്"", ""mr - Marathi"": ""नासी लमाक"", ""ms - Malay"": ""Nasi lemak"", ""my - Burmese"": ""နာဆီလီမက်"", ""pa - Punjabi"": ""ਨਾਸੀ ਲੇਮਕ"", ""pt - Portuguese"": ""Nasi lemak"", ""pwn - Paiwan"": ""nasi lemak"", ""ru - Russian"": ""Наси-лемак"", ""sv - Swedish"": ""Nasi lemak"", ""ta - Tamil"": ""நாசி லெமாக்"", ""th - Thai"": ""นาซีเลอมัก"", ""tl - Tagalog"": ""Nasi lemak"", ""tr - Turkish"": ""Nasi lemak"", ""uk - Ukrainian"": ""Насі лемак"", ""uz - Uzbek"": ""Nasi lemak"", ""yue - Cantonese"": ""椰漿飯"", ""zh - Chinese"": ""椰浆饭""}"
16,Nasi Campur,https://en.wikipedia.org/wiki/Nasi_campur,"{""es - Spanish"": ""Nasi campur"", ""eu - Basque"": ""Nasi campur"", ""fr - French"": ""Nasi campur"", ""id - Indonesian"": ""Nasi campur"", ""ja - Japanese"": ""ナシチャンプル"", ""jv - Javanese"": ""Sega campur"", ""ko - Korean"": ""나시 참푸르"", ""ms - Malay"": ""Nasi campur"", ""nl - Dutch"": ""Nasi rames"", ""th - Thai"": ""นาซีจัมปูร์"", ""uk - Ukrainian"": ""Насі кампур""}"
17,Nasi Goreng,https://en.wikipedia.org/wiki/Nasi_goreng,"{""ar - Arabic"": ""نازي جورينج"", ""as - Assamese"": ""নাছি গৰেং"", ""az - Azerbaijani"": ""Nasi-qorenq"", ""ban - Balinese"": ""Nasi Goréng"", ""bew - Betawi"": ""Nasi gorèng"", ""ca - Catalan"": ""Nasi goreng"", ""de - German"": ""Nasi Goreng"", ""en-simple - Simple English"": ""Nasi goreng"", ""eo - Esperanto"": ""Nasi goreng"", ""es - Spanish"": ""Nasi goreng"", ""fa - Persian"": ""ناسی گورنگ"", ""fr - French"": ""Nasi goreng"", ""hy - Armenian"": ""Նասի գորենգ"", ""id - Indonesian"": ""Nasi goreng"", ""it - Italian"": ""Nasi goreng"", ""ja - Japanese"": ""ナシゴレン"", ""jv - Javanese"": ""Sega gorèng"", ""ko - Korean"": ""나시 고렝"", ""ms - Malay"": ""Nasi goreng"", ""nl - Dutch"": ""Nasi goreng"", ""nn - Norwegian Nynorsk"": ""Nasi goreng"", ""pl - Polish"": ""Nasi goreng"", ""pt - Portuguese"": ""Nasi goreng"", ""ru - Russian"": ""Наси-горенг"", ""su - Sundanese"": ""Goréng sangu"", ""sv - Swedish"": ""Nasi goreng"", ""th - Thai"": ""นาซีโกเร็ง"", ""tl - Tagalog"": ""Nasi goreng"", ""uk - Ukrainian"": ""Насі-горенг"", ""wuu - Wu"": ""印尼炒饭"", ""yue - Cantonese"": ""印尼炒飯"", ""zh - Chinese"": ""印尼炒飯""}"
18,Paella,https://en.wikipedia.org/wiki/Paella,"{""ar - Arabic"": ""باييا"", ""arz - Egyptian Arabic"": ""باييا"", ""bcl - Central Bikol"": ""Paella"", ""bg - Bulgarian"": ""Паеля"", ""ca - Catalan"": ""Paella d'arròs"", ""ckb - Central Kurdish"": ""پاێلا"", ""cs - Czech"": ""Paella"", ""cy - Welsh"": ""Paëla"", ""da - Danish"": ""Paella"", ""de - German"": ""Paella"", ""el - Greek"": ""Παέγια"", ""en-simple - Simple English"": ""Paella"", ""eo - Esperanto"": ""Paelo"", ""es - Spanish"": ""Paella"", ""eu - Basque"": ""Paella"", ""fa - Persian"": ""پائیا"", ""fi - Finnish"": ""Paella"", ""fr - French"": ""Paella"", ""gl - Galician"": ""Paella"", ""he - Hebrew"": ""פאייה"", ""hu - Hungarian"": ""Paella"", ""hy - Armenian"": ""Պաելյա"", ""id - Indonesian"": ""Paella"", ""io - Ido"": ""Paella"", ""is - Icelandic"": ""Paella"", ""it - Italian"": ""Paella"", ""ja - Japanese"": ""パエリア"", ""jv - Javanese"": ""Paella"", ""ka - Georgian"": ""პაელა"", ""kk - Kazakh"": ""Паэлья"", ""ko - Korean"": ""파에야"", ""la - Latin"": ""Oryza in patella"", ""lmo - Lombard"": ""Paella"", ""lt - Lithuanian"": ""Paelja"", ""mk - Macedonian"": ""Паеља"", ""ml - Malayalam"": ""പയെയ"", ""ms - Malay"": ""Paella"", ""nb - Norwegian Bokmål"": ""Paella"", ""nl - Dutch"": ""Paella"", ""nn - Norwegian Nynorsk"": ""Paella"", ""pam - Pampanga"": ""Paelia"", ""pl - Polish"": ""Paella"", ""pt - Portuguese"": ""Paelha"", ""qu - Quechua"": ""Paylla"", ""ro - Romanian"": ""Paella"", ""ru - Russian"": ""Паэлья"", ""sc - Sardinian"": ""Paella"", ""sq - Albanian"": ""Paella"", ""sr - Serbian"": ""Паеља"", ""sv - Swedish"": ""Paella"", ""ta - Tamil"": ""பயேலா"", ""th - Thai"": ""ปาเอยา"", ""tl - Tagalog"": ""Paelya"", ""uk - Ukrainian"": ""Паелья"", ""uz - Uzbek"": ""Paella"", ""vi - Vietnamese"": ""Paella"", ""yue - Cantonese"": ""西班牙大鑊飯"", ""zh - Chinese"": ""西班牙鐵鍋飯""}"
19,Arròs negre,https://en.wikipedia.org/wiki/Arr%C3%B2s_negre,"{""ar - Arabic"": ""الأرز الأسود"", ""ca - Catalan"": ""Arròs negre"", ""cs - Czech"": ""Arròs negre"", ""es - Spanish"": ""Arroz negro"", ""fr - French"": ""Arròs negre"", ""he - Hebrew"": ""ארוס נגרה"", ""it - Italian"": ""Arròs negre"", ""ja - Japanese"": ""アロス・ネグロ"", ""jv - Javanese"": ""Arròs négré"", ""ko - Korean"": ""아로스 네그레"", ""nb - Norwegian Bokmål"": ""Arròs negre"", ""nl - Dutch"": ""Arros negre"", ""nn - Norwegian Nynorsk"": ""Arròs negre"", ""pt - Portuguese"": ""Arroz negro"", ""ru - Russian"": ""Аррос негре"", ""th - Thai"": ""อาร์ร็อสเนเกร"", ""tl - Tagalog"": ""Arròs negre"", ""uk - Ukrainian"": ""Аррос негре"", ""vi - Vietnamese"": ""Arròs negre"", ""zh - Chinese"": ""墨鱼饭""}"
20,Jollof Rice,https://en.wikipedia.org/wiki/Jollof_rice,"{""ar - Arabic"": ""رز جولاف"", ""cs - Czech"": ""Jollof rice"", ""da - Danish"": ""Jollof-ris"", ""dag - Dagbani"": ""Dafaduka"", ""de - German"": ""Benachin"", ""en-simple - Simple English"": ""Jollof rice"", ""es - Spanish"": ""Arroz jollof"", ""eu - Basque"": ""Jollof arroz"", ""fi - Finnish"": ""Jollof-riisi"", ""fr - French"": ""Riz wolof"", ""ha - Hausa"": ""Dafa-duka"", ""hy - Armenian"": ""Ջոլոֆ"", ""id - Indonesian"": ""Nasi jollof"", ""ig - Igbo"": ""Jollof rice"", ""it - Italian"": ""Riso jollof"", ""ja - Japanese"": ""ジョロフライス"", ""jv - Javanese"": ""Sega jollof"", ""ko - Korean"": ""졸로프 라이스"", ""nn - Norwegian Nynorsk"": ""Jollof-ris"", ""pt - Portuguese"": ""Arroz jollof"", ""ru - Russian"": ""Джолоф"", ""sv - Swedish"": ""Jollof-ris"", ""tw - Twi"": ""Jollof rice"", ""uk - Ukrainian"": ""Джолоф"", ""uz - Uzbek"": ""Jolof"", ""vi - Vietnamese"": ""Cơm jollof"", ""yo - Yoruba"": ""Ìrẹsì Jọ̀lọ́ọ̀fù"", ""zh - Chinese"": ""加羅夫飯""}"
21,Biryani,https://en.wikipedia.org/wiki/Biryani,"{""ar - Arabic"": ""برياني"", ""arc - Aramaic"": ""ܒܪܝܐܢܝ"", ""as - Assamese"": ""বিৰিয়ানি"", ""az - Azerbaijani"": ""Biryani"", ""be - Belarusian"": ""Бір’яні"", ""bg - Bulgarian"": ""Биряни"", ""bn - Bangla"": ""বিরিয়ানি"", ""ca - Catalan"": ""Biryani"", ""ceb - Cebuano"": ""Beryāni"", ""cs - Czech"": ""Biryani"", ""da - Danish"": ""Biryani"", ""de - German"": ""Biryani"", ""en-simple - Simple English"": ""Biryani"", ""eo - Esperanto"": ""Birjano"", ""es - Spanish"": ""Biryani"", ""fa - Persian"": ""بریانی"", ""fi - Finnish"": ""Biryani"", ""fr - French"": ""Biryani"", ""gu - Gujarati"": ""બિરયાની"", ""ha - Hausa"": ""Biryani"", ""he - Hebrew"": ""ביריאני"", ""hi - Hindi"": ""बिरयानी"", ""hr - Croatian"": ""Biryani"", ""hy - Armenian"": ""Բիրյանի"", ""id - Indonesian"": ""Nasi biryani"", ""it - Italian"": ""Biryani"", ""ja - Japanese"": ""ビリヤニ"", ""jv - Javanese"": ""Biryani"", ""kn - Kannada"": ""ಬಿರಿಯಾನಿ"", ""ko - Korean"": ""비리아니"", ""ku - Kurdish"": ""Biryan"", ""la - Latin"": ""Biryānī"", ""lb - Luxembourgish"": ""Biryani"", ""lt - Lithuanian"": ""Birjanis"", ""mk - Macedonian"": ""Биријани"", ""ml - Malayalam"": ""ബിരിയാണി"", ""mr - Marathi"": ""बिर्याणी"", ""ms - Malay"": ""Nasi beriani"", ""nb - Norwegian Bokmål"": ""Biryani"", ""ne - Nepali"": ""बिरयानी"", ""nl - Dutch"": ""Biryani"", ""nn - Norwegian Nynorsk"": ""Biriani"", ""or - Odia"": ""ବିରିୟାନୀ"", ""pa - Punjabi"": ""ਬਿਰਿਆਨੀ"", ""pl - Polish"": ""Biriani"", ""pnb - Western Punjabi"": ""بریانی"", ""pt - Portuguese"": ""Biryani"", ""ro - Romanian"": ""Biryani"", ""ru - Russian"": ""Бирьяни"", ""sco - Scots"": ""Biryani"", ""sd - Sindhi"": ""برياني"", ""sh - Serbo-Croatian"": ""Birijani"", ""si - Sinhala"": ""බිරියානි"", ""sr - Serbian"": ""Биријани"", ""sv - Swedish"": ""Biryani"", ""ta - Tamil"": ""பிரியாணி"", ""te - Telugu"": ""బిర్యాని"", ""th - Thai"": ""ข้าวหมก"", ""tl - Tagalog"": ""Biryani"", ""tr - Turkish"": ""Büryan"", ""uk - Ukrainian"": ""Бір'яні"", ""ur - Urdu"": ""بریانی"", ""uz - Uzbek"": ""Biryani"", ""vi - Vietnamese"": ""Biryani"", ""wuu - Wu"": ""印度香饭"", ""yue - Cantonese"": ""印度炒飯"", ""zh - Chinese"": ""印度香饭"", ""zu - Zulu"": ""IBiriyani""}"
22,Khao Phat,https://en.wikipedia.org/wiki/Thai_fried_rice,"{""bcl - Central Bikol"": ""Sinanlag nin Thai"", ""es - Spanish"": ""Arroz frito tailandés"", ""id - Indonesian"": ""Nasi goreng Thai"", ""it - Italian"": ""Khao pad"", ""ja - Japanese"": ""カオ・パット"", ""jv - Javanese"": ""Sega gorèng Thailand"", ""ko - Korean"": ""카오 팟"", ""th - Thai"": ""ข้าวผัด"", ""uk - Ukrainian"": ""Кхао пад"", ""yue - Cantonese"": ""泰式炒飯"", ""zh - Chinese"": ""泰式炒飯""}"
23,Hokkien fried rice,https://en.wikipedia.org/wiki/Hokkien_fried_rice,"{""bn - Bangla"": ""হোক্কিয়েন ফ্রাইড রাইস"", ""ko - Korean"": ""푸젠 차오판"", ""yue - Cantonese"": ""福建炒飯"", ""zh - Chinese"": ""福建炒飯""}"
24,Yin yang fried rice,https://en.wikipedia.org/wiki/Yin_yang_fried_rice,"{""ja - Japanese"": ""鴛鴦炒飯"", ""ko - Korean"": ""위안양차오판"", ""yue - Cantonese"": ""鴛鴦炒飯"", ""zh - Chinese"": ""鴛鴦炒飯""}"
25,Chahan,https://en.wikipedia.org/wiki/Chahan_(dish),"{""fa - Persian"": ""چاهان"", ""id - Indonesian"": ""Chahan"", ""ja - Japanese"": ""チャーハン"", ""jv - Javanese"": ""Chahan"", ""ko - Korean"": ""차한"", ""pt - Portuguese"": ""Chāhan"", ""ro - Romanian"": ""Chahan"", ""th - Thai"": ""ชาฮัง"", ""vi - Vietnamese"": ""Chahan"", ""yue - Cantonese"": ""日式炒飯"", ""zh - Chinese"": ""日式炒饭""}"
26,Omurice,https://en.wikipedia.org/wiki/Omurice,"{""ar - Arabic"": ""أوموريس"", ""ban - Balinese"": ""Omurice"", ""be - Belarusian"": ""Амурайсу"", ""ca - Catalan"": ""Omurice"", ""da - Danish"": ""Omurice"", ""de - German"": ""Omuraisu"", ""es - Spanish"": ""Omurice"", ""fa - Persian"": ""ام‌رایس"", ""fr - French"": ""Omuraisu"", ""he - Hebrew"": ""אומו-ראיזו"", ""hu - Hungarian"": ""Omurice"", ""hy - Armenian"": ""Օմուրաիսու"", ""id - Indonesian"": ""Omurice"", ""it - Italian"": ""Omurice"", ""ja - Japanese"": ""オムライス"", ""jv - Javanese"": ""Omurice"", ""ko - Korean"": ""오므라이스"", ""ms - Malay"": ""Omurice"", ""pl - Polish"": ""Omuraisu"", ""pt - Portuguese"": ""Omu-raisu"", ""ru - Russian"": ""Омурайсу"", ""th - Thai"": ""ออมไรซ์"", ""tl - Tagalog"": ""Omurice"", ""tr - Turkish"": ""Omuraisu"", ""uk - Ukrainian"": ""Омурайсу"", ""vi - Vietnamese"": ""Omurice"", ""yue - Cantonese"": ""奄列飯"", ""zh - Chinese"": ""蛋包飯""}"
27,Bokkeum-bap,https://en.wikipedia.org/wiki/Bokkeum-bap,"{""jv - Javanese"": ""Bokkeum-bap"", ""ko - Korean"": ""볶음밥"", ""tr - Turkish"": ""Bokkeum-bap""}"
28,Burmese fried rice,https://en.wikipedia.org/wiki/Burmese_fried_rice,"{""id - Indonesian"": ""Nasi goreng Myanmar""}"
29,Aligue fried rice,https://en.wikipedia.org/wiki/Aligue_fried_rice,"{""jv - Javanese"": ""Sega gorèng Aligue""}"
30,Java rice,https://en.wikipedia.org/wiki/Java_rice,{}
31,Morisqueta tostada,https://en.wikipedia.org/wiki/Morisqueta_tostada,{}
32,Sinangag,https://en.wikipedia.org/wiki/Sinangag,"{""bcl - Central Bikol"": ""Sinanlag"", ""bn - Bangla"": ""সিননগাগ"", ""ceb - Cebuano"": ""Sinangag"", ""jv - Javanese"": ""Sinangág"", ""th - Thai"": ""ซีนางัก"", ""tl - Tagalog"": ""Sinangag"", ""vi - Vietnamese"": ""Sinangag""}"
33,Bagoong fried rice,https://en.wikipedia.org/wiki/Bagoong_fried_rice,"{""jv - Javanese"": ""Sega gorèng bagoong""}"
34,Yangzhou Fried Rice,https://en.wikipedia.org/wiki/Yangzhou_fried_rice,"{""es - Spanish"": ""Arroz frito Yangzhou"", ""fr - French"": ""Riz cantonais"", ""it - Italian"": ""Riso alla cantonese"", ""ja - Japanese"": ""揚州チャーハン"", ""jv - Javanese"": ""Sega gorèng Yangzhou"", ""ko - Korean"": ""양저우 차오판"", ""pt - Portuguese"": ""Arroz chau chau"", ""vi - Vietnamese"": ""Cơm chiên Dương Châu"", ""yue - Cantonese"": ""揚州炒飯"", ""zh - Chinese"": ""揚州炒飯""}"
35,Donburi,https://en.wikipedia.org/wiki/Donburi,"{""be - Belarusian"": ""Домбуры"", ""ca - Catalan"": ""Donburi"", ""de - German"": ""Donburi"", ""es - Spanish"": ""Donburi"", ""eu - Basque"": ""Donburi"", ""fa - Persian"": ""دون‌بوری"", ""fi - Finnish"": ""Donburi"", ""fr - French"": ""Donburi"", ""hy - Armenian"": ""Դոմբուրի"", ""id - Indonesian"": ""Donburi"", ""it - Italian"": ""Donburi"", ""ja - Japanese"": ""丼物"", ""jv - Javanese"": ""Donburi"", ""ko - Korean"": ""돈부리"", ""ms - Malay"": ""Donburi"", ""nb - Norwegian Bokmål"": ""Donburi"", ""nl - Dutch"": ""Donburi"", ""pl - Polish"": ""Donburi"", ""pt - Portuguese"": ""Donburi"", ""ru - Russian"": ""Домбури"", ""sv - Swedish"": ""Donburi"", ""th - Thai"": ""ดมบูริ"", ""tr - Turkish"": ""Donburi"", ""uk - Ukrainian"": ""Домбурі"", ""vi - Vietnamese"": ""Donburi"", ""wuu - Wu"": ""丼物"", ""yue - Cantonese"": ""日式大碗飯"", ""zh - Chinese"": ""丼物""}"
36,Akhni,https://en.wikipedia.org/wiki/List_of_rice_dishes,"{""ar - Arabic"": ""قائمة أطباق الأرز"", ""arz - Egyptian Arabic"": ""اطباق الرز"", ""fr - French"": ""Cuisine du riz"", ""id - Indonesian"": ""Daftar hidangan nasi"", ""zh - Chinese"": ""米食列表""}"
37,Akki rotti,https://en.wikipedia.org/wiki/Akki_rotti,"{""kn - Kannada"": ""ಅಕ್ಕಿ ರೊಟ್ಟಿ"", ""ta - Tamil"": ""அக்கி ரொட்டி""}"
38,Albaloo polo,https://en.wikipedia.org/wiki/Albaloo_polo,"{""el - Greek"": ""Αλμπαλού πόλο"", ""es - Spanish"": ""Albaloo polo"", ""fa - Persian"": ""آلبالوپلو"", ""jv - Javanese"": ""Albaloo polo""}"
