context,type,Base Text,English,Indonesian (Formal),Indonesian (Casual),Chinese (Mandarin),Korean (Formal),Korean (Casual),Japanese (Formal),Japanese (Casual),Sundanese (Loma),Javanese (Krama),Javanese (Ngoko),Czech,Spanish,French,Arabic (MSA),Hindi,Marathi,Bengali,Sinhala  (formal-spoken),Yoruba,Cantonese,Hokkien (Medan),Hokkien (Medan - Spoken),Tagalog,Thai,Azerbaijani,Russian (Casual),Russian (Formal),Italian,Sardinian (Logudorese)
no_context,name,What do people call this dish?,What do people call this dish?,Apa yang orang sebut untuk hidangan ini?,Biasanya orang-orang panggil makanan ini apa?,这道菜人们通常怎么称呼？,사람들은 이 요리를 뭐라고 부르나요?,사람들은 이 요리를 뭐라고 불러?,この料理は一般的に何と呼ばれていますか?,この料理って、普通どう呼ばれてる？,Jalma méré ngaran naon ka ieu pasakan?,Tiyang biasane nyebat dhaharan menika mawi asma nopo?,Wong-wong biasane nyeluk panganan iki nggawe jeneng opo?,Jak lidé říkají tomuto jídlu?,¿Cómo llaman las personas a este plato?,Comment est-ce que les gens appellent ce plat?,كيف يسمي الناس هذا الطبق؟,इस व्यंजन को क्या कहते हैं?,लोक या व्यंजनाला काय म्हणतात?,লোকে এই খাবারের পদটিকে কি নামে চেনে ?,මිනිසුන් මෙම කෑම වර්ගය හඳුන්වන්නේ කෙසේද?,Kí ni àwọn èèyàn ń pe oúnjẹ yìí?,人哋點叫呢道菜?,人人按怎叫这类菜的名?,lang lang an cua kio ce le chai e mia?,Ano ang tawag ng karamihan sa lutong ito?,ผู้คนเรียกอาหารจานนี้ว่า?,İnsanlar bu yeməyə nə deyirlər?,Как люди называют это блюдо?,Как люди называют это блюдо?,Come chiama la gente questo piatto?,Sa zente comente giamat custu piàttu?
no_context,name,What do you call this dish?,What do you call this dish?,Apa yang kamu sebut untuk hidangan ini?,Apa panggilan untuk makanan ini?,你怎么称呼这道菜？,당신은 이 요리를 뭐라고 부르나요?,너는 이 요리를 뭐라고 불러?,この料理を何と呼びますか?,この料理、何て呼ぶ？,Manéh méré ngaran naon ka ieu pasakan?,Panjenengan nyebat dhaharan menika mawi asma nopo?,Awakmu nyeluk panganan iki nggawe jeneng opo?,Jak říkáte tomuto jídlu?,¿Cómo se llama este plato?,Comment appelez-vous ce plat?,كيف تسّمون هذا الطبق؟,इस व्यंजन को क्या कहते हैं?,या जेवणाला काय म्हणतात?,তুমি এই খাবারকে কি নামে চেনো ?,ඔබ මෙම කෑම වර්ගය හඳුන්වන්නේ කෙසේද?,Kí ni ò ń pe oúnjẹ yìí?,你點叫呢道菜?,你按怎叫这类菜的名?,lu an cua kio ce le chai e mia?,Ano ang tawag mo sa lutong ito?,คุณเรียกอาหารจารนี้ว่า?,Bu xörəyə nə deyirsiniz?,Как ты называешь это блюдо?,Как вы называете это блюдо?,Come viene chiamato questo piatto?,Comente benidi giamadu custu tipu de cosa de mànigare?
no_context,name,What is this food known as?,What is this food known as?,Dikenal sebagai apakah makanan ini?,Makanan ini dikenal juga dengan nama apa?,这道菜被称为什么？,이 음식의 이름은 무엇으로 알려져 있나요?,이 음식의 이름은 뭐라고 알려져 있어?,この食べ物は一般的に何と呼ばれていますか?,この食べ物って、普通何て言うの？,Disebut ku naon biasana ieu kadaharan?,Kagem asma nopo biasane dhaharan menika dipunsebat?,Kanggo jeneng opo biasane panganan iki diceluk?,Pod jakým názvem je známé toto jídlo?,¿Cómo se le conoce a este plato?,Sous quel nom connaît-on ce plat?,كيف يُعرف هذا الطعام؟,इस भोजन को किस नाम से जाना जाता है?,हे अन्न काय म्हणून ओळखले जाते?,এই খাবার কে সবাই কি নামে চেনে ?,මෙම ආහාරය හඳුන්වනු  ලබන්නේ කෙසේද?,Kí ni a mọ oúnjẹ yìí sí?,呢樣食物叫咩名？,这类菜拿来叫做啥物名?,ce le chai gia lai kio co ha mik mia?,Ano ang tawag sa pagkaing ito?,อาหารนี้รู้จักในชื่อว่า?,Bu yemək necə tanınır?,Как известно это блюдо?,Как известно это блюдо?,Come viene chiamato questo cibo?,Comente benidi giamadu custu mànigu?
no_context,name,What is the official name of this food?,What is the official name of this food?,Apa nama resmi yang diberikan untuk makanan ini?,Apa nama resminya makanan ini?,这道菜的官方名称是什么？,이 음식의 공식적인 이름은 무엇인가요?,이 음식의 공식적인 이름은 뭐야?,この食べ物の正式名称は何ですか?,この食べ物の正式な名前、何？,Naon ngaran resmi ti ieu kadaharan?,Nopo asma resmi saking dhaharan menika?,Opo jeneng resmi teko panganan iki?,Jaký je oficiální název tohoto jídla?,¿Cuál es el nombre oficial de esta comida?,Quel est le nom officiel de ce plat?,ماهو الإسم الرسمي لهذا الطعام؟,इस भोजन का आधिकारिक नाम क्या है?,या अन्नाचे अधिकृत नाव काय आहे?,এই খাবারের আনুষ্ঠানিক নাম কি?,මෙම ආහාරය හඳුන්වනු ලබන නිලලත් නාමය කුමක්ද ?,Kí ni ojúlówó orúkọ tí oúnjẹ yìí ń jẹ́?,呢樣嘢食嘅正式名係咩？,这类菜的正名是啥物?,ce le chai e cia mia si ha mik?,Ang ang tamang pangalan ng pagkaing ito?,ชื่ออย่างเป็นทางการของอาหารจานนี้คือ?,Bu yeməyin rəsmi adı nədir?,Каково официальное название этой еды?,Каково официальное название этой еды?,Qual è il nome ufficiale di questo cibo?,Cale este su nùmene uffiziale de custu tipu de mànigu?
no_context,name,What is this item in the picture?,What is the item in the picture?,Benda apa yang terdapat pada gambar?,Apa nama benda di gambar ini?,照片中的是什么食物？,이 사진에 있는 음식의 이름은 무엇입니까?,이 사진에 있는 음식의 이름은 뭐야?,この写真の品物は何ですか?,この写真の物って何？,Naon barang nu aya di ieu gambar?,Barang nopo menika ingkang wonten ing gambar?,Barang opo iki sing ono nang gambar?,Co za předmět je na tomto obrázku?,¿Qué objeto está en esta foto?,Quel est l'objet sur la photo?,ما هذا الشيء الذي في الصورة؟,तस्वीर में दिख रहा यह खाना क्या है?,चित्रात हे अन्नपदार्थ काय आहे?,এটা কোন জিনিসের ছবি ?,මෙම පින්තුරයේ ඇති දේ  කුමක්ද ?,Kí ni nǹkan tó wà nínú àwòrán náà?,呢張相入面嘅呢樣嘢係咩？,相影内面的东西吃是啥物?,sio eng lai bin e mik kia ciak si ha mik?,Ano ang bagay sa litrato?,สิ่งของในรูปภาพคืออะไร?,Şəkildəki bu əşya nədir?,Что изображено на фотографии?,Что изображено на фотографии?,Che cos'è l'oggetto in questa foto?,Itte este sa cosa che s'idede in custa fotografia?
no_context,name,Can you provide the name of this dish?,Can you provide the name of this dish?,Bisakah anda berikan nama hidangan ini?,Bisa kasi tahu nama makanan ini?,你能告诉我这道菜的名字吗？,이 요리의 이름을 알려줄 수 있나요?,이 요리의 이름을 알려줄 수 있어?,この料理の名前を教えていただけますか?,この料理の名前、教えてくれる？,"Ceuk manéh, ieu pasakan dibéré ngaran naon?",Saged nopo mboten panjenengan nyebataken asma saking dhaharan ing gambar menika?,Iso gak awakmu ngewenehi jeneng teko panganan nang gambar iki,Můžete prosím udat název tohoto jídla?,¿Podrías proporcionarme el nombre de este plato?,Pouvez-vous citer le nom de ce plat?,هل بإمكانك تقديم إسم هذا الطبق؟,क्या आप इस व्यंजन का नाम बता सकते हैं?,तुम्ही या जेवणाचे नाव सांगू शकता का?,তুমি কি এই খাবারের নাম বলতে পারবে?,මෙම  කෑම වර්ගයේ  නම ඔබට සපයාදිය හැකිද?,Ṣe o lè sọ orúkọ irúfẹ́ oúnjẹ yìí?,你可唔可以話俾我知呢道菜嘅名?,你的跟我讲这类东西吃的名吗?,lu e kak wa kong ce le mik kia ciak e mia bo?,Maaari mo bang ibigay sa akin ang pangalan ng lutong ito?,คุณช่วยบอกชื่ออาหารในจานให้หน่อย?,Bu xörəyin adını verə bilərsinizmi?,Можешь назвать это блюдо?,Можете назвать это блюдо?,Puoi dirci il nome di questo piatto?,Mi podese narrere su nùmene de custa cosa de mànigare?
no_context,name,Can you tell me what this food is called?,Can you tell me what this food is called?,Bisakah anda memberitahu saya sebutan dari makanan ini?,Tolong kasi tahu makanan ini namanya apa?,你能告诉我这道菜叫什么吗？,이 음식이 뭐라고 불리는지 말해줄 수 있나요?,이 음식이 뭐라고 불리는지 말해줄 수 있어?,この食べ物の名称を教えていただけますか?,この食べ物の名前、教えてもらってもいい？,"Ceuk manéh, ieu kadaharan disebutna naon?",Saged nopo mboten panjenengan nuduhaken kula asmane dhaharan menika?,Iso gak awakmu ndudohi aku jenenge panganan iki?,"Můžete mi povědět, jak se jmenuje toto jídlo?",¿Podrías decirme cómo se llama esta comida?,Pouvez-vous me dire quel est le nom de ce plat?,هل يمكنك أن تخبرني ما اسم هذا الطعام؟,क्या आप मुझे बता सकते हैं कि इस खाने को क्या कहते हैं?,तुम्ही या अन्नपदार्थाला काय म्हणतात ते सांगू शकाल का?,তুমি কি আমাকে এই খাবারের নাম বলতে পারবে?,මෙම ආහාරය කුමක්දැයි ඔබට කිව හැකිද මට?,Ṣe o lè sọ fún mi orúkọ tí oúnjẹ yìí ń jẹ́?,你可以話俾我聽呢樣嘢食叫咩名？,你的跟我讲这类东西吃叫做啥物吗?,lu e kak wa kong ce le mik kia ciak kio co ha mik bo?,Maaari mo bang sabihin sakin kung ano ang tawag sa pagkaing ito?,คุณช่วยบอกหน่อย อาหารในรูปเรียกว่าอะไร,Bu yeməyin necə adlandığını mənə deyə bilərsiniz?,"Можешь сказать, как называется эта еда?","Можете сказать, как называется эта еда?",Puoi dirmi come è chiamato questo cibo?,Mi podese narrere comente si giamat questa cosa de manigare?
no_context,name,How do you refer to this food?,How do you refer to this food?,Bagaimanakah anda merujuk makanan ini?,Gimana cara ngerujuk ke makanan ini?,你怎么称呼这道食物？,이 음식을 뭐라고 부르나요?,이 음식을 뭐라고 불러?,この食べ物を何と呼びますか?,この食べ物って、何て言うの？,Kumaha cara manéh ngarujuk ka ieu kadaharan?,Kados pundi caranipun panjenengan nyebat dhaharan menika?,Piye caramu ngarani panganan iki?,Jak označujete toto jídlo?,¿Cómo te refieres a este alimento?,Comment faites vous référence à ce plat?,كيف تشير إلى هذا الطعام؟,आप इस भोजन को किस नाम से पुकारते हैं?,तुम्ही या अन्नाला काय म्हणतात?,তুমি এই খাবারকে সাধারণতঃ কি বলে থাকো ?,ඔබ මෙම කෑම වර්ගය සදහන් කරන්නෙ කොහොමද?,Báwo lo ṣe lè tọ́ka sí oúnjẹ yìi.,你點稱呼呢樣嘢食？,你按怎叫这类东西吃?,lu an cua kio ce le mik kia ciak?,Paano mo tawagin ang pagkaing ito?,คุณจะอ้างอิงชื่อของอาหารนี้ว่าอะไร?,Bu yeməyə necə istinad edirsiniz?,Как ты называешь эту еду?,Как вы называете эту еду?,Con che nome ti riferisci a questo cibo?,Cale numene usas pro faeddare de custu manigu?
no_context,name,How do you name this dish?,How do you name this dish?,Bagaimanakah anda menamai hidangan ini?,Gimana kasih nama makanan ini?,你对这道菜怎么命名？,이 요리를 어떻게 부르나요?,이 요리를 어떻게 불러?,この料理の名前は何ですか?,この料理の名前って何？,Kumaha cara manéh méré ngaran ka ieu pasakan?,Kados pundi caranipun panjenengan masangaken asma dhaharan menika?,Piye caramu njenengi panganan iki?,Jak nazýváte tento pokrm?,¿Cómo llamas a este plato?,Comment nommez-vous ce plat?,كيف تسمي هذا الطبق؟,आप इस व्यंजन को किस नाम से पुकारते हैं?,या व्यंजनाचे नाव काय आहे?,তুমি এই খাবারকে কি নামে ডাকো ?,ඔබ මෙම කෑම වර්ගය නම් කරන්නෙ කොහොමද?,Báwo lo ṣe so orúkọ irúfẹ́ oúnjẹ yìí?,你點叫呢道菜?,你按怎叫这类菜的名?,lu an cua kio ce le chai e mia?,Paano mo pangalanan ang lutong ito?,คุณจะตั้งชื่ออาหารนี้ว่าอะไร?,Bu xörəyi necə adlandırırsınız?,Как называется это блюдо?,Как называется это блюдо?,Che nome dai a questo piatto?,Cale nùmene dasa ai custu piàttu?
no_context,name,How do you call this dish?,How do you call this dish?,Bagaimanakah anda menyebut hidangan ini?,Gimana manggil makanan ini?,你如何称呼这道菜？,이 요리를 어떻게 부르나요?,이 요리를 어떻게 불러?,この料理はどのように呼びますか?,この料理って何て呼ぶの？,Kumaha cara manéh nyebut ieu pasakan?,Kados pundi caranipun panjenengan nyebat dhaharan punika?,Piye caramu nyeluk panganan iki?,Jak říkáte tomuto pokrmu?,¿Cómo se llama este plato?,Comment appelez-vous ce plat?,كيف تسمي هذا الطبق؟,आप इस व्यंजन को किस नाम से पुकारते हैं?,या जेवणाचे नाव काय आहे?,তুমি এই খাবারের পদটিকে কি বলে ডাকো ?,ඔබ මෙම කෑම වර්ගය හඳුන්වන්නේ කෙසේද? ,Báwo lo ṣe lè pe irúfẹ́ oúnjẹ yìí?,你點叫呢道菜?,你按怎叫这类菜?,lu an cua kio ce le chai?,Ano ang tawag mo sa lutong ito?,คุณจะเรียกอาหารนี้ว่าอะไร?,Bu yeməyi necə adlandırırsınız?,Как ты называешь это блюдо?,Как вы называете это блюдо?,Come chiami questo piatto?,Comente giamasa custu piàttu?
no_context,cuisine,Which cuisine is the dish from?,Which cuisine is the dish from?,Hidangan dari manakah makanan ini?,Makanan ini hidangan dari mana?,这道菜属于哪个菜系？,이 요리는 어느 나라 요리인가요?,이 요리는 어느 나라 요리야?,この料理はどの国の料理ですか?,この料理ってどこの国のやつ？,Ti idangan mana asal ieu pasakan?,Saking negari pundi asalipun dhaharan menika?,Teko jenis panganan negoro opo asale panganan iki?,Z jaké kuchyně pochází toto jídlo?,¿A qué gastronomía pertenece este plato?,De quelle cuisine est issu ce plat?,من أي مطبخ هذا الطبق؟,यह व्यंजन किस देश की रसोई से है?,कोणत्या पाककृतीतील डिश आहे?,এই খাবার কোন জায়গার রন্ধনপ্রণালীর অংশ ?,මෙම කෑම වර්ගය කුමන ආහාර පිසීමකට අයත්ද,Irúfẹ́ oúnjẹ wo ni oúnjẹ yìí ti wá?,呢道菜係邊個菜系嘅？,这类菜是dari佗落系菜来的?,ce le chai si dari ta lok sek chai lai e?,Mula saang lutuin ang lutong ito?,อาหารจานนี้มาจากครัวที่ใด?,Bu yemək hansı mətbəxə aiddir?,Из какой кухни это блюдо?,Из какой кухни это блюдо?,Da quale cucina viene questo piatto?,Dai cale coghina tipica benidi custo tipu de manigu?
