Relation	TweetId	Text	English
0	1693264604988596685	ēdu steiku ar interesantu skatu https://t.co/O9nkM7hrgu	I'm eating steak with an interesting view https://t.co/O9nkM7hrgu
0	1693275200568057896	Mums šodien ačgārnā svētdiena - pankūkas būs vakariņās. https://t.co/5qSkbpdif0	For us today is an upside down Sunday - pancakes will be for dinner. https://t.co/5qSkbpdif0
0	1693332957195391388	@and_kse Zini tos čipšus, kuri pēc ballītes ir pamesti ārā un palikuši mīkst? Es arī tādus nezinu. https://t.co/I4L9PLNy1F	@and_kse Do you know those chips that have been left outside after the party and have become soft? I don't know them either. https://t.co/I4L9PLNy1F
0	1693342127327977913	#day8 - šī nedēļa bija traka,katru dienu kkas bija jādara 🙈 Tad nu šodien pabeidzu Haosa spēles 11/24 ✔️ un biju uz dzimsanas dienu,un kas gan ir dzimšanas diena bez kūkas 😏Bet starpcitu - nopirktā pudele ir baigi laba motivacija dzert ūdeni,šodien 2l bija izdzerti jau 13:00 😅 https://t.co/3hpwJQDM5v	#day8 - this week was crazy,every day had smthn to do 🙈 So today I finished the Chaos Games on 11/24 ✔️ and I went to a birthday,and what is a birthday without a cake 😏But by the way - the bottle I bought is a really good motivation to drink water,today I had drunk 2l by 13:00 already 😅 https://t.co/3hpwJQDM5v
0	1693358095240491497	Unethical Rimi pankūkas storage tech https://t.co/TWOH6m86g6	Unethical Rimi pancake storage tech https://t.co/TWOH6m86g6
1	1693362972360315143	Gardā viršu kafija čau! Viss. Basta Tuvumā neiešu!  Lai tad paši dzer! 🤡 https://t.co/YGKvYDW2nu	Delicious virši coffee bye! That's it. I won't go near Basta! Let them drink it themselves! 🤡 https://t.co/YGKvYDW2nu
2	1693364916684554311	@AVabelis Jā, uz sojas mērču iepakojuma (ja kāds to arī lasa!) parasti ir rakstīts, ka satur kviešu lipekli. Un ir iespējams nopirkt arī specializēto bezglutēna sojas mērci (resp, ja parastajā sojas mērcē nebūtu glutēna, tad neražotu specializētās GF). Šis ir no Imantas lielās Maximas ⤵️ https://t.co/tgaN6Krec5	@AVabelis Yes, the packaging of soy sauces (if anyone reads it too!) usually says that it contains wheat gluten. And it is also possible to buy a specialized gluten-free soy sauce (i.e., if a regular soy sauce did not contain gluten, then specialized GFs would not be produced). This is from the big Maxima in Imanta ⤵️ https://t.co/tgaN6Krec5
2	1693374421396820124	palūdzu mammai lai nogriež man kvadrātcentimetru kūkas https://t.co/3rN1zPCq17	i asked my mom to cut me a square centimeter of cake https://t.co/3rN1zPCq17
2	1693488073810624558	Ļoti priecājos, ka sākas 'pāraugušo' kabaču laiks. Tādu gareni ķirbji - sēklas ārā, miza kā skali jātēš - bet tas miltainums, kad izcep/izvāra 😍 bērnības sautējumu garša! Arī kabaču laiviņas nav ūdeņainas. Uz grilla, folijā, ar sāli&amp;eļļu&amp;ķiploku - ņamma. Kādi kabači jums garšo? https://t.co/q6BAOaMr1r	I am very happy that the time for 'overgrown' courgettes is beginning. Such elongated pumpkins - seeds outside, peel needs to be ripped like splinters - but that flouriness when baked/boiled 😍 the taste of childhood stews! Courgette boats are not watery either. On the grill, in foil, with salt & oil & garlic - yumm. What kind of courgettes do you like? https://t.co/q6BAOaMr1r
2	1693493076642148781	@mazdarzinu Mana favorītrecepte - ar gailenēm un zilo sieru. Vēl topā ir kubiciņos, virsū tomāts un siers ar pētersīļiem un majonēzi. Un, protams,  klasika - kabaču karbonādes. https://t.co/8An1cHCkrg	@mazdarzinu My favorite recipe - with chanterelles and blue cheese. Also highly rated are as cubes, with tomato and cheese with parsley and mayonnaise on top. And, of course,  the classic - courgette chops. https://t.co/8An1cHCkrg
0	1693496851880677755	Ja esi resns un tev patīk cept gaļu uz grila, tad šis celiņš ir speciāli priekš tevis. https://t.co/EUFNg8K94T	If you're fat and you like to grill meat, this walkway is especially for you. https://t.co/EUFNg8K94T
3	1693508925092761850	Izčekoju visas meteo prognozes un kļuva skaidrs, ka šodien būs jāmarinē gurķi un bietes. Kādas ir garšīgākās gurķu marinādes repceptes? Man garšo tās saldās. https://t.co/B3vHjEv2WS	I checked all the meteo forecasts and it became clear that cucumbers and beets would have to be marinated today. What are the tastiest cucumber marinade recipes? I like the sweet ones. https://t.co/B3vHjEv2WS
0	1693520857493107001	Tomātu entuziasta laimīgais laiks. Darba saldie augļi. Vēl tik lapas jāpafrizē, jāsalaista ar kalciju un jāielasa grozā. Tomātu audzēšana ir man ļoti mīļa nodarbošanās. https://t.co/Rml57CbeMG	Happy time for the tomato enthusiast. The sweet fruit of work. Still need to sort out the leaves, water them with calcium and gather them in a basket. Growing tomatoes is a very favorite activity for me. https://t.co/Rml57CbeMG
0	1693539284978909564	Otrās brokastis šorīt, bet brīvdienā jau var visādi. Grāmata man pagaidām patīk, viesnīcas vide ir interesanta. Šķiet, ka galvenai varonei Mollijai varētu būt autisms, bet varbūt kļūdos.  #brokastisargrāmatu https://t.co/iCDsRYADOA	Second breakfast this morning, but on a holiday anything is possible. I like the book so far, the hotel environment is interesting. It looks like the protagonist Molly might have autism, but maybe I'm wrong.  #brokastisargrāmatu https://t.co/iCDsRYADOA
0	1693555865817583704	Šķiet, man jau būs izveidojusies tradīcija dienā pēc nometnes palutināt sevi ar auksto zupu un grieķu salātiem Kaķīškalna kafejnīcā un izbaudīt kādu pasākumu Siguldas novadā. Starp citu, Nurmižos ir jauna, brīnišķīga kultūrvieta - \"Dabā\". 💚 https://t.co/MY0yr0pUpZ	It seems that I will already have a tradition to treat myself to cold soup and Greek salad in the Kaķīškalns cafe on the day after the camp and enjoy an event in Sigulda county. By the way, there is a new, wonderful cultural place in Nurmiži - "In Nature". 💚 https://t.co/MY0yr0pUpZ
0	1693558597932732776	Fine, ēdīšu pati! :D https://t.co/gJzVf8fYEq	Fine, I'll eat it myself! :D https://t.co/gJzVf8fYEq
1	1693571009943642173	🏀 Nepalaid garām!  🌴 Tu vai kāds Tavs draugs dosies uz Džakartu atbalstīt @basketbols izlasi PK finālturnīrā, kas sāksies jau šonedēļ? Augusta Sporta Avīzē meklē plašu ceļvedi, ieskatoties ļoti daudzos noderīgos jautājumos - ko apskatīt, ko ēst, kādas aplikācijas lietot utt. https://t.co/Z5LL8T3l2U https://t.co/dfhPBNiyoj	🏀 Don't miss out! 🌴 Are you or a friend going to Jakarta to support @basketbols in the WC Finals, which start this week already? In the August Sports Newspaper you can find an extensive guide, looking at a lot of useful questions - what to see, what to eat, what applications to use, etc. https://t.co/Z5LL8T3l2U https://t.co/dfhPBNiyoj
0	1693603883593953538	Ak, sēnes... Pēdējās dienās ir pielasīta pilna saldētava ar baravikām un apšubekām, ir piekomentēts twiteris un whatsaps un... voilā! Facebooks šorīt izmet šo reklāmiņu 😊 Cik žēl, ka nav padzīvojušu tantuku izmērā, reizēm jūtos tieši tik šizo, lai šis būtu perfekts autfits! https://t.co/nHbiXLRQ22	Oh, mushrooms... In recent days, a freezer has been filled full of boletes and aspen mushrooms, commented on Twitter and WhatsApp and... voila! Facebook is throwing an ad this morning 😊 What a shame that have not lived in the size of aunties, sometimes I feel just so schizo enough that this would be a perfect for outfit! https://t.co/nHbiXLRQ22
2	1693606002531205230	Mellenes ar skābo krējumu un cukuru...mmm..tik garšīgi! varbūt šis nomierinās manu vēlmi tērēt vīra naudu? https://t.co/iqMCJdbh20	Blueberries with sour cream and sugar...mmm..so delicious! maybe this will appease my desire to spend my husband's money? https://t.co/iqMCJdbh20
0	1693611761306337661	Ar vājiem nerviem pārtīt. 😂 🫣 taaa kņud,sāp un niez.  Kas un kad iekoda,nezinu. 🤦‍♀️🤷‍♀️ https://t.co/RqRuuju85d	Re-wraping with weak nerves. 😂 .  I don't know who bit me or when. 🤦‍♀️🤷‍♀️ https://t.co/RqRuuju85d
0	1693631356503294293	Liela daļa gan jau būs pamanījuši, bet Briāna kvartālā šosezon atvērusies jauna vieta “Desiņas un mīdijas”, kurā pasniedz… desiņas un mīdijas.  Biju 2x, viss bija garšīgs, bet galvenie selling points manā skatījumā ir vieta/atmosfēra un pieejamās cenas! Iesaku!  #VilhelmsArDakšu https://t.co/90cxLL3qn1	A large portion will have already noticed, but a new place “Sausages and mussels” has opened this season in Briāna Quarter, where they serve… sausages and mussels. I went there 2x, everything was delicious, but the main selling points in my opinion are the place/atmosphere and available prices! I recommend it! #VilhelmsArDakšu https://t.co/90cxLL3qn1
2	1693638185106964817	Viena mana pastāvīgā ēdinātāja taisa saldskābo mērci ar ananasiem un papriku, bet otrs — ar ananasiem un mazsālītiem gurķiem. Nemūžam nebūtu domājusi, ka mazsālīti gurķi ar ananasiem ir tik garšīgi. Vispār citur neesmu mazālītus gurķus redzējusi, lai gan taji marinē visu ko. https://t.co/d7rU0Mfwy6	One of my regular caterers makes sweet and sour sauce with pineapple and bell pepper, and the other one — with pineapple and lightly salted cucumbers. Never would have thought that lightly salted cucumbers with pineapple are so delicious. I have never seen lightly salted cucumbers anywhere else, even though Thai people pickle many things. https://t.co/d7rU0Mfwy6
0	1693638397645013339	@realGints Rīt ēdīsim otru ( drusku mazāks). https://t.co/pYxOdxKQVj	@realGints Tomorrow we will eat the other one ( a little smaller). https://t.co/pYxOdxKQVj
2	1693654193968644203	Našķim — ābolu marmelāde! https://t.co/SLsiVSnJ7G https://t.co/qIIifat1cj	As a treat — apple marmalade! https://t.co/SLsiVSnJ7G https://t.co/qIIifat1cj
1	1693668572525138385	Ļauj savam 9 gadniekam brokastis cepr un nebilst ne vārda. https://t.co/PAph0o2gU5	Let your 9 year old make breakfast without saying a word. https://t.co/PAph0o2gU5
0	1693676439692836913	Tu esi tas ko tu ēd un tas ko ēd tu,noteikti ietekmē to,ko ēd tava bērns. Un tad ir tas brīdis,kad bērns vakariņās saka- mammīt,uztaisām poke bļodu! Labu apetīti manam gandrīz četrgadniekam https://t.co/fRlztaJApB	You are what you eat and what you eat definitely affects what your child eats. And then there is the moment when at dinner the child says - mommy, let's make a poke bowl! Bon appetit for my almost four-year-old https://t.co/fRlztaJApB
2	1693679850223968473	Vispār forši. Paņem telefonu un vienkārši piezvani Purvītim. Vai Skalbem. 1940. gada telefongrāmata. Un Ķuzes šokolādes reklāma tik viltīga! https://t.co/5Fab30kag5	Cool overall. Pick up the phone and just call Purvītis. Or Skalbe. Telephone book of 1940. And the Ķuze chocolate advertisement is so tricky! https://t.co/5Fab30kag5
0	1693690056874025396	@AnonymousSoze Šitas ir riktīgi daudz.🙈 Laikam dēļ atvaļinājuma, kad 2 nedēļas biju pa mājām un viskautko darījos, pat ēst šmorēju katru dienu, pat vairākas reizes dienā. A tā - ko ta man tērēt.🤷‍♀️ No rītiem fēns, kādas 2 - 3x nedēļā vakaros plīts, 2 - 3x nedēļā veļene, 2x nedēļā čaiņiks.🤷‍♀️ https://t.co/JmlAMHMSQi	@AnonymousSoze This is really a lot.🙈 I guess because of the vacation when I was home for 2 weeks and did many things, even cooking food every day, even several times a day. But otherwise - why should I spend.🤷‍♀️ In the mornings hairdryer, about 2 - 3x a week in the evenings the stove, 2 - 3x a week in the washing machine, 2x a week in the kettel. 🤷‍♀️ https://t.co/JmlAMHMSQi
0	1693842933974536603	Otrdienas pusdienas pie mums, Miesnieku ielā 10 https://t.co/VMHwvTz9ur	Tuesday lunch with us at Miesnieku Street 10 https://t.co/VMHwvTz9ur
1	1693880939057655970	@didzvein Par Putleru leģenda ir tāda, ka viņš ar klasi bija ekskursijā Latgalē un, būdams naturāls līderis, pieteicies nogalināt pīli, lai citiem ir ko ēst vakariņās.  Pīli esot slepkavojis ļoti žēlsirdīgi. Pēc viņa audzinātājas nostāstiem. 🤣 https://t.co/tPmemWgxd9	@didzvein The legend of Putler is that he and his class were on a tour in Latgale and, being a natural leader, volunteered to kill a duck so that others have something to eat for dinner. The duck is said to have been murdered very mercifully. According to his tutor's story. 🤣 https://t.co/tPmemWgxd9
0	1693885864043065552	Mājas (vēderus) meklē šis jaukums. Mēs viņu ēdam jau četras dienas!!! Viss! Tagad esam gatavi to atdot kompostam! Lūdzu! Kurš grib! Par baltu velti! Saņemšana Ikšķilē.  (Varbūt varam kur arī piegādāt) https://t.co/GgvBqWDVOC	This loveliness is looking for a home (bellies). We've been eating it for four days already!!! That's it! Now we're ready to give it to compost! Please! Who wants! Totally for free! Pickup in Ikšķile. (Maybe we can deliver somewhere) https://t.co/GgvBqWDVOC
2	1693891557773217949	Tā kā kūkas un tortes pie mums darbā neviens neēd, šodien cienāšanas kolēģes ar kišu no Bel-Etage, kur ir ļoti gardi franču deserti☺️🌻🚀 https://t.co/hWw2L8XViZ	Since no one eats cakes and tarts at our workplace, today I will treat colleagues with a quiche from Bel-Etage, where there are very delicious French desserts☺️🌻🚀 https://t.co/hWw2L8XViZ
3	1693898347474460883	Pusotras stundas laikā paspēju aizbraukt līdz tārtiņterapijai, uzēst avenes parkā un atgriezties mājas. https://t.co/c7tlRFvOtM	Within an hour and a half, I was able to go to therapy, eat raspberries in the park and return home. https://t.co/c7tlRFvOtM
2	1693903703588192271	Man sāk aptrūkties idejas.. 🫣 ko lai vēl no baravikām uztaisa, izņemot mērci? https://t.co/G0NO5AP7xn	I'm starting to run out of ideas.. ? https://t.co/G0NO5AP7xn
3	1693906960372912210	@LRZinas @lgbt_mozaika Latvijas radio @LRZinas , beidziet dzīt šito sūdu, jūs neesat privāta kompānija, jūs ēdat no mūsu naudas https://t.co/nalU26jwSP	@LRZinas @lgbt_mozaika Latvian Radio @LRZinas , stop running this shit, you are not a private company, you eat from our money https://t.co/nalU26jwSP
0	1693924329430331770	@alieninwig @inese_f Nu labāk jau protams vest uz vietu kur ar tomātu mērci nosmērēts šķīvis izdekorēts ar gurķa šķēlīti par 50€. Es labāk paēdīs normālu ēdienu. Kas gatavots tieši man. https://t.co/XPU0XLOBqf	@alieninwig @inese_f Well, it is better to bring them to a place where the plate smeared with tomato sauce is decorated with a slice of cucumber for 50€. I'd rather eat normal food. That is made just for me. https://t.co/XPU0XLOBqf
0	1693929072705814724	@Vpils1 Mums te ir daudzumiņš un perversi tomātu šķaidīšanas svētki..saldētava jau pilla..un tas tik viens no daudzajiem pēdējo 2 ned groziem, šogad laba raža..bet man garšo tomāts ar sieru uz grauzdētas maizes https://t.co/8XRSfin2fA	@Vpils1 We have a lot here and a perverted celebration of tomato bashing..the freezer is already full..and it is just one of the many baskets of the last 2 weeks, this year the harvest is good..but I like tomato with cheese on toasted bread https://t.co/8XRSfin2fA
0	1693930395522544065	Diezgan vienveidīgs un bezgaršīgs ēdiens, kā saprotu, pēc daktera norādījumiem, jo pati uz wc vēl iet nedrīkstu. 😁 Pirms operācijas bija diezgan pikants un garšīgs. Vismaz izcīnīju vegānu ēdienu https://t.co/rop9JabB3d	Pretty uniform and tasteless food, as I understand it, according to the doctor's instructions, because I cannot go to the toilet myself yet. 😁 It was quite spicy and tasty before the operation. At least I won the battle for vegan food https://t.co/rop9JabB3d
0	1693937654562218049	@mazdarzinu Varu atdot šo! Ļoti priecātos atdot šo… mēs viņu jau 4 dienas apēst nevaram… https://t.co/VJu70JdXyf	@mazdarzinu I can give this away! Would love to give this away… we can't eat it for 4 days already… https://t.co/VJu70JdXyf
0	1694009262408704474	es neesmu tas parastais čalis, es esmu tas apēst shroomītes un sipāt potionus pirms nodot HIV analīzes čalis 💅✨ https://t.co/rJNkSxoQH5	i'm not that usual dude, i'm the one to eat shrooms and sip potions before handing over the HIV analysis dude 💅✨ https://t.co/rJNkSxoQH5
0	1694016830308790653	Esmu novērojis – ja breksis ir ļoti kaprīzs, viņš barību tāpat ēd, peld visapkārt, ar kaut ko barojas, bet āķi ar ēsmu neņem, tā brekšu pētnieks Arturs Lūkins. https://t.co/SzCgl3Vbhb https://t.co/syecTbP7Kn	I have observed – if the bream is very capricious, it eats the same food, swims all around, feeds on something, but does not take the hook with bait, so  says bream researcher Arturs Lūkins. https://t.co/SzCgl3Vbhb https://t.co/syecTbP7Kn
0	1694032216332902474	Kā vislabāk izbaudīt pirmo vakaru brīvībā?  Braucot ar kabrioletu un ēdot kaut ko garšīgu! 😉✌🏼 https://t.co/uMgexY5RYH	What's the best way to enjoy your first night in freedom? Driving a convertible and eating something delicious! 😉✌🏼 https://t.co/uMgexY5RYH
0	1694037756911976450	Filmu vakars vēl nav galā. Ir vēl ēdiens. Droši varat pievienoties. Klusiņām😀📺📽️ https://t.co/lXOXetGCvX	Movie night isn't over yet. There's more food. Feel free to join. Quietly😀📺📽️ https://t.co/lXOXetGCvX
2	1694041006553936006	Muša mušu nesmādē.. #maltīte https://t.co/fX9LiMKH4M	A fly does not despise another fly.. #maltīte https://t.co/fX9LiMKH4M
0	1694043686567329956	@OlgaPaozole Nu šitajām vajadzēja būt vecrīgām. Mēģināju jaunu recepti 😅 Rezultātā sanāca vnk bulciņas. Tādas stingras. Neuzpūtušās Viņās nekādu pildījumu nesabāzīsi.  Bet sasodīti garšīgas bulciņas - nedaudz sāļas ar izteiktu sviesta garšu. Pie alus IDEĀLI! 🥰 https://t.co/0acDqPJbmv	@OlgaPaozole Well these should have been Vecrīgas. I tried a new recipe 😅 The result was simply buns. Such firm ones. You will not stick any filling in them that are not puffed up. But damn tasty buns - a little salty with a pronounced buttery taste. With beer PERFECT! 🥰 https://t.co/0acDqPJbmv
0	1694054684976181721	Čau! Veselīgi, un, manuprāt, garšīgi čipsi, kas ražoti Latvijā! 😋 Par šiem uzzināju, kad stāvēju rindā un vienai no pircējām rokās bija vairākas pakas. Es nopirku 2 veidus, bet kopā esot 4 veidi. Patlaban Cirkle-K akcijā tikai 0.99 centi. Šovakar našķējos ar paprikas garšu. 😋 https://t.co/JXYys0BZJj	Hey! Healthy, and in my opinion delicious chips made in Latvia! 😋 I found out about these when I was standing in line and one of the shoppers had several packages in her hands. I bought 2 types, but there are a total of 4 types. Currently only 0.99 cents in the Circle-K promotion. Tonight I'm snacking on bell pepper taste. 😋 https://t.co/JXYys0BZJj
0	1694056036452250022	@absolut_ilze Sakiet, kas jums šī par tomātu šķirni? ieraudzīju FB foto, ne aci atraut, cik glīti no vaiga. https://t.co/fdXVZSa2Eo	@absolut_ilze Tell me, what is this variety of tomatoes you have? i saw the photo on FB, can't take my eye off it, how pretty is the cheek. https://t.co/fdXVZSa2Eo
2	1694057213491401010	Saldējuma konteiners. Šo konteineru izmantoju, lai nogādātu manis ceptus mafinus, tad man to necerēti atsūtīja atpakaļ ar gurķiem. Šodien nogādāju kolēģim tomātus, noteikti nākamnedēļ saņemšu to atpakaļ. 🤞  #plasticfree #day53 #reuse #reuseplastic https://t.co/KqurcU40OZ	Ice cream container. I used this container to deliver self baked muffins, then I got it sent back to me with cucumbers. I delivered tomatoes to my colleague today, I'll be sure to get it back next week. 🤞  #plasticfree #day53 #reuse #reuseplastic https://t.co/KqurcU40OZ
2	1694076372845551797	Tagliatelle ar gaileņu mērci, pecorino sieru &amp; melnajām trifelēm. https://t.co/j6j9prWccu	Tagliatelle with chanterelle sauce, pecorino cheese & black truffles. https://t.co/j6j9prWccu
0	1694203044081086527	Sieva šorīt sagatavoja tomātu maizīti, lai zinu, kurā pusē sākt ēst, kurā beigt. Un pa vidu mazliet apstāties un padomāt, lai būtu tāda apzināta ēšana. https://t.co/hIqaDxpR4z	The wife prepared a tomato bread this morning so that I know which side to start eating, which to end. And in the middle, stop a little bit and think, in order to have that kind of mindful eating. https://t.co/hIqaDxpR4z
1	1694214011200610633	@elnormous Esat komisks ar saviem roltoniem. Iegūglējiet jebkuru citu Eiropas valsti un roltoni būs Jūsu mīļākais ēdiens. https://t.co/pdPc2j4ln6	@elnormous You're comical with your roltons. Google any other European country and rolton will become your favorite dish. https://t.co/pdPc2j4ln6
0	1694231751877345729	Ja nu vēl kādam ir problēmas ar kaķi/-iem, kam pārāk garšo visādi vadi, AliExpress var dabūt šādus kabeļsargus. Desmitiem dažādu krāsu, lēti, tikai uztīšanai uz vada vajag pacietību, man pagāja pusstunda😅  Tagad kaķi vadu vairs negrauž. 😸 https://t.co/1HHSgxOnv4	If anyone else has a problem with a cat(s) who like the taste of all kinds of wires too much, on AliExpress you can get such cable guards. Dozens of different colors, cheap, just wrapping on the cord needs patience, it took me half an hour😅  Now the cats are not chewing on the cord anymore. 😸 https://t.co/1HHSgxOnv4
0	1694255375069888961	Šis nu gan mega tomāts pa visu maizīti 🍅 :) ( paldies Omes draudzenei) https://t.co/dOG1LHqpZL	This is indeed a mega tomato all over the bread🍅:) ( thanks to Grandma's friend) https://t.co/dOG1LHqpZL
0	1694259590186103043	@OlgaPaozole Nasing spešal.. Bija kaut kāda Teikas izcelsmes japāņu virtuve. 1.irmajā pārmaiņus pēc apēdu tīģergarneļu Poke, un tikai tad Ramen zupu ar tīģergarnelēm. Lai gan laikam vajadzēja otrādi. Rezultātā - negausīgi pārēdos. Pēc tam tuvējā Olympic spēļu zālē, skaļi čāpstinot, riju… https://t.co/GKMdVAlrTW https://t.co/DmlAuiMo9P	@OlgaPaozole Nothing special.. There was some Japanese cuisine of Teika origin. On the 1st I ate a tiger prawn Poke for a change, and only then Ramen soup with tiger prawns. Although I guess I should have done it the other way around. As a result - I overate badly. Then in the nearby Olympic casino hall, chattering loudly, eating… https://t.co/GKMdVAlrTW https://t.co/DmlAuiMo9P
1	1694268819076739573	@jautaa_veel Interesanti, ja 17. brokastis bija 2017. gadā, kad notika 16.?  #justasking   https://t.co/q9hffLy9XD https://t.co/u0Yu7oCYuz	@jautaa_veel I wonder if the 17th breakfast was in 2017, when did the 16th take place? #justasking   https://t.co/q9hffLy9XD https://t.co/u0Yu7oCYuz
2	1694276204390457559	***  tumsa aprij visu arī manu sviestmaizi ar desu uzvārīšu tēju saldu lai rūgtumu no dvēseles varu noskalot   Jans Ikes https://t.co/ovMsKH2vIP	*** darkness swallows everything even my sandwich with sausage I will make sweet tea so that I can rinse the bitterness from the soul Jan Ikes https://t.co/ovMsKH2vIP
2	1694282573524906074	Tīra panna. Tie paši milti, biezpiens, banāns. Bet pankūkas ir ORANŽAS. Ummm https://t.co/JGXH7jJ2Gj	A clean pan. The same flour, cottage cheese, banana. But pancakes and ORANGE. Ummm https://t.co/JGXH7jJ2Gj
3	1694289693414752709	Es black bullet, netaisos tik ātri iet gulēt, gribu tusēt un rullēt, pa starpam apēst rulet, visiem prātu pulēt - just do it! Sanāk, sanāk xeristi! 🥂🎈 https://t.co/L6ybtHyOZ1	I'm at black bullet, I'm not going to go to sleep so soon, I want to party and roll, eat roulette in between, polish everyone's mind - just do it! Get together, get together xerists! 🥂🎈 https://t.co/L6ybtHyOZ1
0	1694292920520556919	@ErtMerty @Hellraider5 @lsmlv Komjauniešu breškenu un simanovskas kladē visi aprēķini…”investoru bildes” studijā 👇 ! “Mēs atņemsim “kulakiem” un sadalīsim sociāli taisnīgi,”progresīvi”, kliedz mazie iljičēni partijas istabā. “Biedri (he/she/it),mums vajag kāpostu ko dalīt (jo, ko gan spējam radīt!?) “🤪🐒🍌 https://t.co/orO6J68JDu	@ErtMerty @Hellraider5 @lsmlv In the notebook of communist youth Brešken and Simanovska are all the calculations…”investor pictures” in the studio👇! “We will take away from the “knuckles” and divide socially justly, “ progressively”, the little iljičēni scream in the party room. “Comrade (he/she/it), we need cabbage to share (because, what can we create!?) “🤪🐒🍌 https://t.co/orO6J68JDu
2	1694317948964368576	Parakstīju līgumu ar frī kartupeļu pildspalvu. Ceru, ka šī darbība novērsīs iespējamus gļukus nākotnē 😆 https://t.co/DHRfjLPZZc	I signed a contract with a french fry pen. I hope that this action will prevent possible lags in the future 😆 https://t.co/DHRfjLPZZc
